feature,records,average_duration_ms,values_complete,durations_complete,unique_values,max_value_frequency_m,value_coincidence_probability,unique_durations,max_duration_frequency_m,duration_coincidence_probability,uniqueness_source,coincidence_probability_used,passes_duration_rule,passes_completeness_rule,passes_uniqueness_rule,selected,exclusion_reason
applePay,100,0.43,True,True,2,82,0.81,5,81,0.8,value,0.81,True,True,False,False,coincidence_probability_not_below_pmax
architecture,100,0.32,True,True,2,60,0.59,3,73,0.72,value,0.59,True,True,False,False,coincidence_probability_not_below_pmax
audio,100,9.01,True,True,6,39,0.38,24,12,0.11,value,0.38,True,True,True,True,
audioBaseLatency,100,3.39,True,True,2,82,0.81,14,76,0.75,value,0.81,True,True,False,False,coincidence_probability_not_below_pmax
canvas,100,35.87,True,True,36,22,0.21,44,10,0.09,value,0.21,True,True,True,True,
colorDepth,100,0.08,True,True,3,76,0.75,2,92,0.91,value,0.75,True,True,False,False,coincidence_probability_not_below_pmax
colorGamut,100,0.25,True,True,2,68,0.67,3,76,0.75,value,0.67,True,True,False,False,coincidence_probability_not_below_pmax
contrast,100,0.05,True,True,1,100,0.99,2,95,0.94,value,0.99,True,True,False,False,coincidence_probability_not_below_pmax
cookiesEnabled,100,0.95,True,True,1,100,0.99,8,59,0.58,value,0.99,True,True,False,False,coincidence_probability_not_below_pmax
cpuClass,100,0.0,False,True,1,100,0.99,1,100,0.99,value,0.99,True,False,False,False,value_or_duration_missing;coincidence_probability_not_below_pmax
dateTimeLocale,100,0.14,True,True,2,60,0.59,2,86,0.85,value,0.59,True,True,False,False,coincidence_probability_not_below_pmax
deviceMemory,100,0.0,False,True,1,100,0.99,1,100,0.99,value,0.99,True,False,False,False,value_or_duration_missing;coincidence_probability_not_below_pmax
domBlockers,100,70.46,False,True,2,82,0.81,69,7,0.06,value,0.81,True,False,False,False,value_or_duration_missing;coincidence_probability_not_below_pmax
fontPreferences,100,69.74,True,True,11,19,0.18,66,5,0.04,value,0.18,True,True,True,True,
fonts,100,119.67,True,True,9,30,0.29,73,5,0.04,value,0.29,False,True,True,False,average_duration_not_below_tmax
forcedColors,100,0.04,True,True,1,100,0.99,2,96,0.95,value,0.99,True,True,False,False,coincidence_probability_not_below_pmax
hardwareConcurrency,100,0.15,True,True,3,70,0.69,2,85,0.84,value,0.69,True,True,False,False,coincidence_probability_not_below_pmax
hdr,100,0.01,True,True,2,72,0.71,2,99,0.98,value,0.71,True,True,False,False,coincidence_probability_not_below_pmax
indexedDB,100,0.28,True,True,1,100,0.99,3,77,0.76,value,0.99,True,True,False,False,coincidence_probability_not_below_pmax
invertedColors,100,0.05,False,True,2,82,0.81,2,95,0.94,value,0.81,True,False,False,False,value_or_duration_missing;coincidence_probability_not_below_pmax
languages,100,0.47,True,True,6,29,0.28,6,75,0.74,value,0.28,True,True,True,True,
localStorage,100,0.07,True,True,1,100,0.99,2,93,0.92,value,0.99,True,True,False,False,coincidence_probability_not_below_pmax
math,100,0.23,True,True,2,82,0.81,3,78,0.77,value,0.81,True,True,False,False,coincidence_probability_not_below_pmax
monochrome,100,0.11,True,True,1,100,0.99,3,95,0.94,value,0.99,True,True,False,False,coincidence_probability_not_below_pmax
openDatabase,100,0.05,True,True,1,100,0.99,2,95,0.94,value,0.99,True,True,False,False,coincidence_probability_not_below_pmax
osCpu,100,0.04,False,True,3,61,0.6,2,96,0.95,value,0.6,True,False,False,False,value_or_duration_missing;coincidence_probability_not_below_pmax
pdfViewerEnabled,100,0.02,True,True,1,100,0.99,2,98,0.97,value,0.99,True,True,False,False,coincidence_probability_not_below_pmax
platform,100,0.03,True,True,4,40,0.39,2,97,0.96,value,0.39,True,True,True,True,
plugins,100,0.59,True,True,2,90,0.89,5,57,0.56,value,0.89,True,True,False,False,coincidence_probability_not_below_pmax
privateClickMeasurement,100,0.07,False,True,2,82,0.81,2,93,0.92,value,0.81,True,False,False,False,value_or_duration_missing;coincidence_probability_not_below_pmax
reducedMotion,100,0.04,True,True,1,100,0.99,2,96,0.95,value,0.99,True,True,False,False,coincidence_probability_not_below_pmax
reducedTransparency,100,0.05,False,True,2,57,0.56,2,95,0.94,value,0.56,True,False,False,False,value_or_duration_missing;coincidence_probability_not_below_pmax
screenFrame,100,0.7,False,True,11,54,0.53,4,49,0.48,value,0.53,True,False,False,False,value_or_duration_missing;coincidence_probability_not_below_pmax
screenResolution_height,100,0.04,False,True,7,36,0.35,2,96,0.95,value,0.35,True,False,True,False,value_or_duration_missing
screenResolution_width,100,0.04,False,True,8,36,0.35,2,96,0.95,value,0.35,True,False,True,False,value_or_duration_missing
sessionStorage,100,0.37,True,True,1,100,0.99,3,69,0.68,value,0.99,True,True,False,False,coincidence_probability_not_below_pmax
timezone,100,12.34,True,True,3,40,0.39,26,12,0.11,value,0.39,True,True,True,True,
touchSupport,100,0.25,True,True,2,90,0.89,3,76,0.75,value,0.89,True,True,False,False,coincidence_probability_not_below_pmax
vendor,100,0.0,False,True,3,43,0.42,1,100,0.99,value,0.42,True,False,True,False,value_or_duration_missing
vendorFlavors,100,0.1,True,True,3,49,0.48,2,90,0.89,value,0.48,True,True,True,True,
webGlBasics,100,27.59,True,True,7,22,0.21,38,15,0.14,value,0.21,True,True,True,True,
webGlExtensions,100,18.39,True,True,8,22,0.21,30,17,0.16,value,0.21,True,True,True,True,
