participant_id,collection_id,collection_index,audio,canvas,fontPreferences,languages,platform,timezone,vendorFlavors,webGlBasics,webGlExtensions
participant_001,participant_001_collection_01,1,124.04348155876505,5,2,4,1,0,0,3,0
participant_001,participant_001_collection_02,2,124.04348155876505,5,10,5,1,0,0,3,0
participant_001,participant_001_collection_03,3,124.04348155876505,5,2,5,1,0,0,3,0
participant_001,participant_001_collection_04,4,124.04348155876505,5,2,5,1,0,0,3,0
participant_001,participant_001_collection_05,5,124.04348155876505,5,2,5,1,0,0,3,0
participant_001,participant_001_collection_06,6,124.04348155876505,5,2,5,1,0,0,3,0
participant_001,participant_001_collection_07,7,124.04348155876505,5,10,5,1,0,0,3,0
participant_001,participant_001_collection_08,8,124.04348155876505,5,10,5,1,0,0,3,0
participant_001,participant_001_collection_09,9,124.04348155876505,5,10,5,1,0,0,3,0
participant_001,participant_001_collection_10,10,124.04348155876505,5,10,5,1,0,0,3,0
participant_002,participant_002_collection_01,1,124.04346622781304,0,7,3,3,0,2,6,4
participant_002,participant_002_collection_02,2,124.04346622781304,0,7,3,3,0,2,6,4
participant_002,participant_002_collection_03,3,124.04346622781304,0,7,3,3,0,2,6,4
participant_002,participant_002_collection_04,4,124.04346622781304,1,7,3,3,0,2,6,4
participant_002,participant_002_collection_05,5,124.04346622781304,0,7,3,3,0,2,6,4
participant_002,participant_002_collection_06,6,124.04346622781304,0,7,3,3,0,2,6,4
participant_002,participant_002_collection_07,7,124.04346622781304,0,7,3,3,0,2,6,4
participant_002,participant_002_collection_08,8,124.04346622781304,0,7,3,3,0,2,6,4
participant_002,participant_002_collection_09,9,124.04346622781304,0,7,3,3,0,2,6,4
participant_002,participant_002_collection_10,10,124.04346622781304,0,7,3,3,0,2,6,4
participant_003,participant_003_collection_01,1,35.749972093850374,28,8,0,0,1,2,1,6
participant_003,participant_003_collection_02,2,35.749972093850374,28,8,0,0,1,2,1,6
participant_003,participant_003_collection_03,3,35.749972093850374,28,8,0,0,1,2,1,6
participant_003,participant_003_collection_04,4,35.749972093850374,28,8,0,0,1,2,1,6
participant_003,participant_003_collection_05,5,35.749972093850374,28,8,0,0,1,2,1,6
participant_003,participant_003_collection_06,6,35.749972093850374,28,8,0,0,1,2,1,6
participant_003,participant_003_collection_07,7,35.749972093850374,27,8,0,0,1,2,1,6
participant_003,participant_003_collection_08,8,124.04347527516074,3,5,1,0,1,0,5,1
participant_003,participant_003_collection_09,9,35.749972093850374,6,8,0,0,1,2,1,6
participant_003,participant_003_collection_10,10,35.749972093850374,20,8,0,0,1,2,1,6
participant_004,participant_004_collection_01,1,35.749972093850374,14,9,0,0,0,2,2,5
participant_004,participant_004_collection_02,2,35.749972093850374,19,9,0,0,0,2,2,5
participant_004,participant_004_collection_03,3,35.749972093850374,8,9,0,0,0,2,2,5
participant_004,participant_004_collection_04,4,35.749972093850374,15,9,0,0,0,2,2,5
participant_004,participant_004_collection_05,5,35.749972093850374,17,9,0,0,0,2,2,5
participant_004,participant_004_collection_06,6,35.749972093850374,17,9,0,0,0,2,2,5
participant_004,participant_004_collection_07,7,35.749972093850374,18,9,0,0,0,2,2,5
participant_004,participant_004_collection_08,8,35.749972093850374,9,9,0,0,0,2,2,5
participant_004,participant_004_collection_09,9,35.749972093850374,21,9,0,0,0,2,2,5
participant_004,participant_004_collection_10,10,35.749972093850374,16,9,0,0,0,2,2,5
participant_005,participant_005_collection_01,1,35.749972093850374,26,8,0,0,1,2,1,6
participant_005,participant_005_collection_02,2,35.749972093850374,25,8,0,0,1,2,1,6
participant_005,participant_005_collection_03,3,35.749972093850374,33,8,0,0,1,2,1,6
participant_005,participant_005_collection_04,4,35.749972093850374,32,8,0,0,1,2,1,6
participant_005,participant_005_collection_05,5,35.749972093850374,23,8,0,0,1,2,1,6
participant_005,participant_005_collection_06,6,35.749972093850374,34,8,0,0,1,2,1,6
participant_005,participant_005_collection_07,7,35.749972093850374,22,8,0,0,1,2,1,6
participant_005,participant_005_collection_08,8,35.749972093850374,24,8,0,0,1,2,1,6
participant_005,participant_005_collection_09,9,35.749972093850374,10,8,0,0,1,2,1,6
participant_005,participant_005_collection_10,10,35.749972093850374,10,8,0,0,1,2,1,6
participant_006,participant_006_collection_01,1,124.04348155876505,5,2,4,1,0,0,3,0
participant_006,participant_006_collection_02,2,124.04348155876505,5,2,4,1,0,0,3,0
participant_006,participant_006_collection_03,3,-4.0,35,1,3,1,0,1,6,3
participant_006,participant_006_collection_04,4,-4.0,35,1,3,1,0,1,6,3
participant_006,participant_006_collection_05,5,-4.0,35,1,3,1,0,1,6,3
participant_006,participant_006_collection_06,6,-4.0,35,1,3,1,0,1,6,3
participant_006,participant_006_collection_07,7,-4.0,35,1,3,1,0,1,6,3
participant_006,participant_006_collection_08,8,-4.0,35,1,3,1,0,1,6,3
participant_006,participant_006_collection_09,9,-4.0,35,1,3,1,0,1,6,3
participant_006,participant_006_collection_10,10,-4.0,35,1,3,1,0,1,6,3
participant_007,participant_007_collection_01,1,123.94335918396973,4,4,1,0,1,0,5,1
participant_007,participant_007_collection_02,2,123.94335918396973,4,4,1,0,1,0,5,1
participant_007,participant_007_collection_03,3,123.94335918396973,4,4,1,0,1,0,5,1
participant_007,participant_007_collection_04,4,123.94335918396973,4,4,1,0,1,0,5,1
participant_007,participant_007_collection_05,5,123.94335918396973,4,4,1,0,1,0,5,1
participant_007,participant_007_collection_06,6,123.94335918396973,4,4,1,0,1,0,5,1
participant_007,participant_007_collection_07,7,123.94335918396973,4,4,1,0,1,0,5,1
participant_007,participant_007_collection_08,8,123.94335918396973,4,4,1,0,1,0,5,1
participant_007,participant_007_collection_09,9,123.94335918396973,4,4,1,0,1,0,5,1
participant_007,participant_007_collection_10,10,123.94335918396973,4,4,1,0,1,0,5,1
participant_008,participant_008_collection_01,1,124.04348155876505,5,10,1,1,1,0,3,0
participant_008,participant_008_collection_02,2,124.04348155876505,5,10,1,1,1,0,3,0
participant_008,participant_008_collection_03,3,124.04348155876505,5,10,1,1,1,0,3,0
participant_008,participant_008_collection_04,4,124.04348155876505,5,10,1,1,1,0,3,0
participant_008,participant_008_collection_05,5,124.04348155876505,5,10,1,1,1,0,3,0
participant_008,participant_008_collection_06,6,124.04348155876505,5,10,1,1,1,0,3,0
participant_008,participant_008_collection_07,7,124.04348155876505,5,10,1,1,1,0,3,0
participant_008,participant_008_collection_08,8,124.04348155876505,5,10,1,1,1,0,3,0
participant_008,participant_008_collection_09,9,124.04348155876505,5,10,1,1,1,0,3,0
participant_008,participant_008_collection_10,10,124.04348155876505,5,2,1,1,1,0,3,0
participant_009,participant_009_collection_01,1,124.04347527516074,2,0,4,2,2,0,4,2
participant_009,participant_009_collection_02,2,124.04347527516074,2,3,4,2,2,0,4,2
participant_009,participant_009_collection_03,3,124.04347527516074,2,3,4,2,2,0,4,2
participant_009,participant_009_collection_04,4,124.04347527516074,2,3,4,2,2,0,4,2
participant_009,participant_009_collection_05,5,124.04347527516074,2,3,4,2,2,0,4,2
participant_009,participant_009_collection_06,6,124.04347527516074,2,0,4,2,2,0,4,2
participant_009,participant_009_collection_07,7,124.04347527516074,2,3,4,2,2,0,4,2
participant_009,participant_009_collection_08,8,124.04347527516074,2,3,4,2,2,0,4,2
participant_009,participant_009_collection_09,9,124.04347527516074,2,3,4,2,2,0,4,2
participant_009,participant_009_collection_10,10,124.04347527516074,2,3,4,2,2,0,4,2
participant_010,participant_010_collection_01,1,35.749972093850374,30,6,2,2,2,2,0,7
participant_010,participant_010_collection_02,2,35.749972093850374,31,6,2,2,2,2,0,7
participant_010,participant_010_collection_03,3,35.749972093850374,31,6,2,2,2,2,0,7
participant_010,participant_010_collection_04,4,35.749972093850374,31,6,2,2,2,2,0,7
participant_010,participant_010_collection_05,5,35.749972093850374,31,6,2,2,2,2,0,7
