feature,average_duration_ms,duration_available_count,duration_complete_for_all_records,all_durations_zero,complete_for_all_records,unique_values,max_value_frequency,coincidence_probability,passes_duration,passes_completeness,passes_uniqueness,selected_automatically,listed_in_article_figure,selected_for_model,exclusion_reason
applePay,0.4166666666666667,60,True,False,True,2,50,0.8166666666666667,True,True,False,False,False,False,coincidencia
architecture,0.3,60,True,False,True,2,36,0.5833333333333334,True,True,False,False,False,False,coincidencia
audio,8.383333333333333,60,True,False,True,6,24,0.38333333333333336,True,True,True,True,True,True,
audioBaseLatency,3.316666666666667,60,True,False,True,2,50,0.8166666666666667,True,True,False,False,False,False,coincidencia
canvas,46.516666666666666,60,True,False,True,21,14,0.21666666666666667,True,True,True,True,False,False,
colorDepth,0.03333333333333333,60,True,False,True,3,47,0.7666666666666667,True,True,False,False,False,False,coincidencia
colorGamut,0.25,60,True,False,True,2,43,0.7,True,True,False,False,False,False,coincidencia
contrast,0.016666666666666666,60,True,False,True,1,60,0.9833333333333333,True,True,False,False,False,False,coincidencia
cookiesEnabled,0.9,60,True,False,True,1,60,0.9833333333333333,True,True,False,False,False,False,coincidencia
cpuClass,0.0,60,True,True,False,1,60,0.9833333333333333,True,False,False,False,False,False,incompleta;coincidencia
dateTimeLocale,0.18333333333333332,60,True,False,True,2,36,0.5833333333333334,True,True,False,False,False,False,coincidencia
deviceMemory,0.0,60,True,True,False,1,60,0.9833333333333333,True,False,False,False,False,False,incompleta;coincidencia
domBlockers,73.5,60,True,False,False,2,50,0.8166666666666667,True,False,False,False,True,True,
fontPreferences,69.6,60,True,False,True,10,12,0.18333333333333332,True,True,True,True,False,False,
fonts,118.58333333333333,60,True,False,True,8,18,0.2833333333333333,False,True,True,False,False,False,duracao
forcedColors,0.05,60,True,False,True,1,60,0.9833333333333333,True,True,False,False,False,False,coincidencia
hardwareConcurrency,0.16666666666666666,60,True,False,True,3,42,0.6833333333333333,True,True,False,False,True,True,
hdr,0.016666666666666666,60,True,False,True,2,47,0.7666666666666667,True,True,False,False,False,False,coincidencia
indexedDB,0.31666666666666665,60,True,False,True,1,60,0.9833333333333333,True,True,False,False,False,False,coincidencia
invertedColors,0.06666666666666667,60,True,False,False,2,50,0.8166666666666667,True,False,False,False,False,False,incompleta;coincidencia
languages,0.5666666666666667,60,True,False,True,6,18,0.2833333333333333,True,True,True,True,False,False,
localStorage,0.06666666666666667,60,True,False,True,1,60,0.9833333333333333,True,True,False,False,True,True,
math,0.23333333333333334,60,True,False,True,2,50,0.8166666666666667,True,True,False,False,False,False,coincidencia
monochrome,0.11666666666666667,60,True,False,True,1,60,0.9833333333333333,True,True,False,False,False,False,coincidencia
openDatabase,0.05,60,True,False,True,1,60,0.9833333333333333,True,True,False,False,False,False,coincidencia
osCpu,0.03333333333333333,60,True,False,False,3,36,0.5833333333333334,True,False,False,False,False,False,incompleta;coincidencia
pdfViewerEnabled,0.016666666666666666,60,True,False,True,1,60,0.9833333333333333,True,True,False,False,False,False,coincidencia
platform,0.016666666666666666,60,True,False,True,4,24,0.38333333333333336,True,True,True,True,True,True,
plugins,0.5833333333333334,60,True,False,True,2,54,0.8833333333333333,True,True,False,False,True,True,
privateClickMeasurement,0.05,60,True,False,False,2,50,0.8166666666666667,True,False,False,False,False,False,incompleta;coincidencia
reducedMotion,0.06666666666666667,60,True,False,True,1,60,0.9833333333333333,True,True,False,False,False,False,coincidencia
reducedTransparency,0.03333333333333333,60,True,False,False,2,34,0.55,True,False,False,False,False,False,incompleta;coincidencia
screenFrame,0.7166666666666667,60,True,False,False,9,31,0.5,True,False,False,False,False,False,incompleta;coincidencia
screenResolution_height,0.05,60,True,False,False,7,23,0.36666666666666664,True,False,True,False,True,True,
screenResolution_width,0.05,60,True,False,False,8,23,0.36666666666666664,True,False,True,False,True,True,
sessionStorage,0.36666666666666664,60,True,False,True,1,60,0.9833333333333333,True,True,False,False,False,False,coincidencia
timezone,12.583333333333334,60,True,False,True,3,24,0.38333333333333336,True,True,True,True,True,True,
touchSupport,0.2833333333333333,60,True,False,True,2,54,0.8833333333333333,True,True,False,False,False,False,coincidencia
vendor,0.0,60,True,True,False,3,26,0.4166666666666667,True,False,True,False,False,False,incompleta
vendorFlavors,0.05,60,True,False,True,3,30,0.48333333333333334,True,True,True,True,False,False,
webGlBasics,28.633333333333333,60,True,False,True,7,14,0.21666666666666667,True,True,True,True,False,False,
webGlExtensions,19.416666666666668,60,True,False,True,8,14,0.21666666666666667,True,True,True,True,False,False,
