target_participant,k,accuracy,precision,recall,f1,true_positive,false_positive,true_negative,false_negative,false_acceptance_rate,false_rejection_rate,mean_authenticity_probability
participant_001,1,0.92,0.625,0.5,0.5555555555555556,5,3,87,5,0.03333333333333333,0.5,0.08
participant_001,2,0.92,0.625,0.5,0.5555555555555556,5,3,87,5,0.03333333333333333,0.5,0.105
participant_001,3,0.97,0.7692307692307693,1.0,0.8695652173913043,10,3,87,0,0.03333333333333333,0.0,0.11666666666666665
participant_001,4,0.97,0.7692307692307693,1.0,0.8695652173913043,10,3,87,0,0.03333333333333333,0.0,0.1225
participant_001,5,0.96,0.7142857142857143,1.0,0.8333333333333334,10,4,86,0,0.044444444444444446,0.0,0.102
participant_001,6,0.96,0.7142857142857143,1.0,0.8333333333333334,10,4,86,0,0.044444444444444446,0.0,0.09666666666666666
participant_001,7,0.96,0.7142857142857143,1.0,0.8333333333333334,10,4,86,0,0.044444444444444446,0.0,0.08428571428571428
participant_001,8,0.86,0.0,0.0,0.0,0,4,86,10,0.044444444444444446,1.0,0.075
participant_001,9,0.86,0.0,0.0,0.0,0,4,86,10,0.044444444444444446,1.0,0.07666666666666667
participant_002,1,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_002,2,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_002,3,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_002,4,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_002,5,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_002,6,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_002,7,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_002,8,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_002,9,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_003,1,0.89,0.47368421052631576,0.9,0.6206896551724138,9,10,80,1,0.1111111111111111,0.1,0.19
participant_003,2,0.89,0.47368421052631576,0.9,0.6206896551724138,9,10,80,1,0.1111111111111111,0.1,0.19
participant_003,3,0.89,0.47368421052631576,0.9,0.6206896551724138,9,10,80,1,0.1111111111111111,0.1,0.19
participant_003,4,0.89,0.47368421052631576,0.9,0.6206896551724138,9,10,80,1,0.1111111111111111,0.1,0.2
participant_003,5,0.89,0.47368421052631576,0.9,0.6206896551724138,9,10,80,1,0.1111111111111111,0.1,0.20600000000000002
participant_003,6,0.89,0.47368421052631576,0.9,0.6206896551724138,9,10,80,1,0.1111111111111111,0.1,0.22000000000000003
participant_003,7,0.85,0.391304347826087,0.9,0.5454545454545454,9,14,76,1,0.15555555555555556,0.1,0.22999999999999993
participant_003,8,0.85,0.391304347826087,0.9,0.5454545454545454,9,14,76,1,0.15555555555555556,0.1,0.2475
participant_003,9,0.85,0.391304347826087,0.9,0.5454545454545454,9,14,76,1,0.15555555555555556,0.1,0.25111111111111106
participant_004,1,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_004,2,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_004,3,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_004,4,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
