target_participant,k,accuracy,precision,recall,f1,true_positive,false_positive,true_negative,false_negative,false_acceptance_rate,false_rejection_rate,mean_authenticity_probability
participant_001,1,0.99,1.0,0.9,0.9473684210526315,9,0,90,1,0.0,0.1,0.09
participant_001,2,0.99,1.0,0.9,0.9473684210526315,9,0,90,1,0.0,0.1,0.1
participant_001,3,0.97,0.8181818181818182,0.9,0.8571428571428571,9,2,88,1,0.022222222222222223,0.1,0.11
participant_001,4,0.97,0.8181818181818182,0.9,0.8571428571428571,9,2,88,1,0.022222222222222223,0.1,0.1025
participant_001,5,0.98,0.8333333333333334,1.0,0.9090909090909091,10,2,88,0,0.022222222222222223,0.0,0.08800000000000001
participant_001,6,0.98,0.8333333333333334,1.0,0.9090909090909091,10,2,88,0,0.022222222222222223,0.0,0.085
participant_001,7,0.98,0.8333333333333334,1.0,0.9090909090909091,10,2,88,0,0.022222222222222223,0.0,0.07285714285714284
participant_001,8,0.88,0.0,0.0,0.0,0,2,88,10,0.022222222222222223,1.0,0.06375
participant_001,9,0.88,0.0,0.0,0.0,0,2,88,10,0.022222222222222223,1.0,0.06666666666666667
participant_002,1,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_002,2,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_002,3,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_002,4,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_002,5,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_002,6,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_002,7,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_002,8,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_002,9,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_003,1,0.95,0.7777777777777778,0.7,0.7368421052631579,7,2,88,3,0.022222222222222223,0.3,0.09
participant_003,2,0.97,1.0,0.7,0.8235294117647058,7,0,90,3,0.0,0.3,0.095
participant_003,3,0.96,0.875,0.7,0.7777777777777778,7,1,89,3,0.011111111111111112,0.3,0.09666666666666666
participant_003,4,0.96,0.875,0.7,0.7777777777777778,7,1,89,3,0.011111111111111112,0.3,0.1025
participant_003,5,0.95,0.7777777777777778,0.7,0.7368421052631579,7,2,88,3,0.022222222222222223,0.3,0.11
participant_003,6,0.95,0.7777777777777778,0.7,0.7368421052631579,7,2,88,3,0.022222222222222223,0.3,0.11166666666666666
participant_003,7,0.94,0.7,0.7,0.7,7,3,87,3,0.03333333333333333,0.3,0.10999999999999999
participant_003,8,0.94,0.7,0.7,0.7,7,3,87,3,0.03333333333333333,0.3,0.11125
participant_003,9,0.94,0.7,0.7,0.7,7,3,87,3,0.03333333333333333,0.3,0.11333333333333333
participant_004,1,0.99,0.9090909090909091,1.0,0.9523809523809523,10,1,89,0,0.011111111111111112,0.0,0.11
participant_004,2,0.96,0.875,0.7,0.7777777777777778,7,1,89,3,0.011111111111111112,0.3,0.11
participant_004,3,0.93,0.6363636363636364,0.7,0.6666666666666666,7,4,86,3,0.044444444444444446,0.3,0.10666666666666666
participant_004,4,0.96,0.875,0.7,0.7777777777777778,7,1,89,3,0.011111111111111112,0.3,0.105
participant_004,5,0.96,0.875,0.7,0.7777777777777778,7,1,89,3,0.011111111111111112,0.3,0.1
participant_004,6,0.96,0.875,0.7,0.7777777777777778,7,1,89,3,0.011111111111111112,0.3,0.10666666666666666
participant_004,7,0.96,0.875,0.7,0.7777777777777778,7,1,89,3,0.011111111111111112,0.3,0.10285714285714288
participant_004,8,0.96,0.875,0.7,0.7777777777777778,7,1,89,3,0.011111111111111112,0.3,0.10625
participant_004,9,0.96,0.875,0.7,0.7777777777777778,7,1,89,3,0.011111111111111112,0.3,0.10222222222222226
participant_005,1,0.98,0.9,0.9,0.9,9,1,89,1,0.011111111111111112,0.1,0.1
participant_005,2,0.96,1.0,0.6,0.75,6,0,90,4,0.0,0.4,0.09
participant_005,3,0.96,0.875,0.7,0.7777777777777778,7,1,89,3,0.011111111111111112,0.3,0.09666666666666668
participant_005,4,0.93,1.0,0.3,0.46153846153846156,3,0,90,7,0.0,0.7,0.095
participant_005,5,0.94,1.0,0.4,0.5714285714285714,4,0,90,6,0.0,0.6,0.08000000000000002
participant_005,6,0.92,1.0,0.2,0.3333333333333333,2,0,90,8,0.0,0.8,0.07833333333333332
participant_005,7,0.93,1.0,0.3,0.46153846153846156,3,0,90,7,0.0,0.7,0.08857142857142858
participant_005,8,0.9,0.0,0.0,0.0,0,0,90,10,0.0,1.0,0.09875
participant_005,9,0.9,0.0,0.0,0.0,0,0,90,10,0.0,1.0,0.1122222222222222
participant_006,1,0.98,0.8333333333333334,1.0,0.9090909090909091,10,2,88,0,0.022222222222222223,0.0,0.12
participant_006,2,0.96,0.8,0.8,0.8,8,2,88,2,0.022222222222222223,0.2,0.11
participant_006,3,0.96,0.8,0.8,0.8,8,2,88,2,0.022222222222222223,0.2,0.1
participant_006,4,0.98,1.0,0.8,0.8888888888888888,8,0,90,2,0.0,0.2,0.105
participant_006,5,0.98,1.0,0.8,0.8888888888888888,8,0,90,2,0.0,0.2,0.10799999999999998
participant_006,6,0.98,1.0,0.8,0.8888888888888888,8,0,90,2,0.0,0.2,0.10333333333333332
participant_006,7,0.98,1.0,0.8,0.8888888888888888,8,0,90,2,0.0,0.2,0.1
participant_006,8,0.98,1.0,0.8,0.8888888888888888,8,0,90,2,0.0,0.2,0.0875
participant_006,9,0.98,1.0,0.8,0.8888888888888888,8,0,90,2,0.0,0.2,0.07777777777777778
participant_007,1,0.99,0.9090909090909091,1.0,0.9523809523809523,10,1,89,0,0.011111111111111112,0.0,0.11
participant_007,2,0.99,0.9090909090909091,1.0,0.9523809523809523,10,1,89,0,0.011111111111111112,0.0,0.11
participant_007,3,0.99,0.9090909090909091,1.0,0.9523809523809523,10,1,89,0,0.011111111111111112,0.0,0.11
participant_007,4,0.99,0.9090909090909091,1.0,0.9523809523809523,10,1,89,0,0.011111111111111112,0.0,0.1125
participant_007,5,0.99,0.9090909090909091,1.0,0.9523809523809523,10,1,89,0,0.011111111111111112,0.0,0.114
participant_007,6,0.99,0.9090909090909091,1.0,0.9523809523809523,10,1,89,0,0.011111111111111112,0.0,0.115
participant_007,7,0.98,0.8333333333333334,1.0,0.9090909090909091,10,2,88,0,0.022222222222222223,0.0,0.11571428571428571
participant_007,8,0.98,0.8333333333333334,1.0,0.9090909090909091,10,2,88,0,0.022222222222222223,0.0,0.11625
participant_007,9,0.98,0.8333333333333334,1.0,0.9090909090909091,10,2,88,0,0.022222222222222223,0.0,0.11666666666666665
participant_008,1,0.99,1.0,0.9,0.9473684210526315,9,0,90,1,0.0,0.1,0.09
participant_008,2,0.99,1.0,0.9,0.9473684210526315,9,0,90,1,0.0,0.1,0.09
participant_008,3,0.99,1.0,0.9,0.9473684210526315,9,0,90,1,0.0,0.1,0.09
participant_008,4,0.99,1.0,0.9,0.9473684210526315,9,0,90,1,0.0,0.1,0.09
participant_008,5,0.99,1.0,0.9,0.9473684210526315,9,0,90,1,0.0,0.1,0.1
participant_008,6,0.99,1.0,0.9,0.9473684210526315,9,0,90,1,0.0,0.1,0.10666666666666666
participant_008,7,0.99,1.0,0.9,0.9473684210526315,9,0,90,1,0.0,0.1,0.12142857142857143
participant_008,8,0.99,1.0,0.9,0.9473684210526315,9,0,90,1,0.0,0.1,0.12375
participant_008,9,0.94,0.6428571428571429,0.9,0.75,9,5,85,1,0.05555555555555555,0.1,0.11555555555555555
participant_009,1,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_009,2,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_009,3,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_009,4,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_009,5,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_009,6,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_009,7,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_009,8,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.10875
participant_009,9,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.11555555555555555
participant_010,1,0.99,1.0,0.9,0.9473684210526315,9,0,90,1,0.0,0.1,0.09
participant_010,2,0.99,1.0,0.9,0.9473684210526315,9,0,90,1,0.0,0.1,0.095
participant_010,3,0.99,1.0,0.9,0.9473684210526315,9,0,90,1,0.0,0.1,0.09
participant_010,4,0.96,1.0,0.6,0.75,6,0,90,4,0.0,0.4,0.0875
participant_010,5,0.96,0.8,0.8,0.8,8,2,88,2,0.022222222222222223,0.2,0.1
participant_010,6,0.94,0.75,0.6,0.6666666666666666,6,2,88,4,0.022222222222222223,0.4,0.09333333333333335
participant_010,7,0.94,0.75,0.6,0.6666666666666666,6,2,88,4,0.022222222222222223,0.4,0.08857142857142858
participant_010,8,0.94,0.75,0.6,0.6666666666666666,6,2,88,4,0.022222222222222223,0.4,0.08375
participant_010,9,0.94,0.75,0.6,0.6666666666666666,6,2,88,4,0.022222222222222223,0.4,0.07999999999999999
